tweet_id,favorites,retweets
892420643555336193,38871,8612
892177421306343426,33287,6327
891815181378084864,25087,4200
891689557279858688,42238,8726
891327558926688256,40395,9497
891087950875897856,20254,3142
890971913173991426,11872,2095
890729181411237888,65674,19088
890609185150312448,27818,4311
890240255349198849,32004,7493
890006608113172480,30705,7414
889880896479866881,27846,5018
889665388333682689,48207,10161
889638837579907072,27226,4588
889531135344209921,15120,2257
889278841981685760,25352,5486
888917238123831296,29134,4549
888804989199671297,25642,4388
888554962724278272,19950,3620
888078434458587136,21806,3530
887705289381826560,30246,5446
887517139158093824,46344,11777
887473957103951883,69238,18419
887343217045368832,33761,10509
887101392804085760,30604,6018
886983233522544640,35227,7840
886736880519319552,12093,3328
886680336477933568,22473,4512
886366144734445568,21170,3215
886267009285017600,116,4
886258384151887873,28017,6359
886054160059072513,0,104
885984800019947520,32784,6876
885528943205470208,36094,6503
885518971528720385,20471,3800
885311592912609280,0,18765
885167619883638784,21991,4426
884925521741709313,77718,18632
884876753390489601,27991,5850
884562892145688576,24346,4928
884441805382717440,27045,5714
884247878851493888,73169,20651
884162670584377345,20425,3024
883838122936631299,21950,3483
883482846933004288,46046,10066
883360690899218434,22606,3724
883117836046086144,37294,6744
882992080364220416,24000,3969
882762694511734784,28377,4982
882627270321602560,27934,6164
882268110199369728,45066,11738
882045870035918850,29431,5045
881906580714921986,24352,3431
881666595344535552,50659,10800
881633300179243008,128,7
881536004380872706,49569,16171
881268444196462592,23115,5205
880935762899988482,17037,2810
880872448815771648,21342,3861
880465832366813184,28584,6362
880221127280381952,27145,4284
880095782870896641,27679,4407
879862464715927552,22356,3538
879674319642796034,314,10
879492040517615616,23457,3223
879415818425184262,106171,44703
879376492567855104,16802,3154
879130579576475649,0,6933
879050749262655488,22646,4774
879008229531029506,19011,2728
878776093423087618,19418,4178
878604707211726852,30371,7337
878404777348136964,0,1309
878316110768087041,0,6746
878281511006478336,7773,1309
878057613040115712,42151,6933
877736472329191424,80213,19443
877611172832227328,0,81
877556246731214848,22833,3880
877316821321428993,27431,5255
877201837425926144,27223,5682
876838120628539392,20739,3411
